(1,saladx12,2,4,12)
(2,saladx20,3,7,20)
(3,saladx6,1,5,6)
(4,choux1,0,6,1)
(5,choux10,5,5,10)
(6,cucux1,1,1)
(7,tomatex1,1,1)
(8,auberginex1,1,1)
(9,poivronx1,1,1)
(11,artichaudx1,4,1)
(12,patate_doucex1,3,5,1)
(13,blette_betterave_celerix1,0,6,1)
(14,blette_betterave_celerix10,5,5,10)
(15,poireau_oignonx50,4,5,50)
(16,poireau_oignonx100,9,100)
(17,fraisex1,0,9,1)
(18,collectionx1,1,5,1)
(19,greffeex1,4,5,1)
(20,tomate_tresor_gros_pot,6,1)
(21,aromatique,1,5,1)
(22,aspergex1,3,1)
